course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
5254,A. H. Blank Golf Course,Des Moines,Iowa,808 County Line Rd,50320,-93.603597,41.5121487,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6715,126,72.1,72,6435,121,71.2,72,5617,116,71.2
8377,A. L. Gustin Golf Course,Columbia,Missouri,Stadium Blvd,65211,-92.3532908,38.9390821,18,Public,Open: 3/01 Closed: 10/31,3,10,70,6430,123,69.7,70,5951,119,67.4,70,4683,116,71.3
15326,Abbey Springs Golf Course,Fontana,Wisconsin,S Shore Dr Route 1,53125,-88.4930948,42.5961619,18,Resort,Open: 4/01 Closed: 11/01,4,10,72,6468,133,71.4,72,6111,131,70.1,75,5341,129,72.4
6103,Acadian Hills Golf Course,Lafayette,Louisiana,500 NW Frontage Rd,70501,-92.0140514,30.2510476,18,Private,year round,1,12,71,6585,114,70.8,71,6223,113,69.2,71,5163,112,69.8
4632,Acorns Golf Links,Waterloo,Illinois,3933 Anne Rd,62298,-90.199375,38.294035,18,Public,year round,1,12,72,6701,125,72.3,72,6256,121,70.2,72,5497,129,72.2
8336,Adams Point Golf Club,Blue Springs,Missouri,1601 Mize Rd,64014,-94.2071011,39.0212452,18,Public,year round,1,12,72,6938,131,73.8,72,6380,125,71.3,72,5060,114,68.1
7673,Adrian Golf Course,Adrian,Minnesota,Hwy 91 S,56110,-95.9331334,43.6349616,9,Semi-Private,Open: 5/01 Closed: 10/01,5,9,36,3345,123,35.8,36,3140,120,35,36,2601,115,34.8
7674,Albany Golf Club,Albany,Minnesota,500 Church St,56307,-94.570276,45.629083,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6415,122,70,72,6023,119,68.2,74,5268,117,69.7
7682,Albion Ridges Golf Course,Annandale,Minnesota,7771 20th St NW,55302,-94.048306,45.180102,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6555,129,71.1,72,6190,126,69.4,72,4728,115,67.7
4532,Aldeen Golf Club,Rockford,Illinois,1900 Reid Farm Rd,61107,-88.9878001,42.2932835,18,Public,Open: 4/01 Closed: 11/15,4,11,72,7058,130,73.9,72,6418,124,70.9,72,5038,116,69.2
6028,Alexandria Golf & Country Club,Alexandria,Louisiana,Hwy 165 S,71301,-92.4494188,31.3266392,18,Private,year round,1,12,72,6595,122,71.6,72,6197,120,70.1,73,5503,122,72.6
